Mu,r,a,b,F_total,Cx,Cy,W,Chord,Phi,Q,T
0.3,0.045,0.335126480779808,0.111923497882625,0.788249763835256,0.742260594122321,0.297165877689985,1.04354838390934,0.040205,26.5104253655017,0.00138133067025047,0.0740828187642872
0.31,0.0465,0.334852655856472,0.107245729545233,0.801134033395998,0.752864043292899,0.29404888758774,1.06731681219269,0.0397845,25.9987427453812,0.00148252285785637,0.0777308420313357
0.32,0.048,0.334578830933136,0.102567961207841,0.814018302956741,0.763467492463478,0.290931897485495,1.09108524047604,0.039364,25.4870601252607,0.00158289696475455,0.081455165604461
0.33,0.0495,0.3343050060098,0.0978901928704492,0.826902572517484,0.774070941634057,0.287814907383249,1.11485366875939,0.0389435,24.9753775051402,0.00168134661197776,0.085255685121676
0.34,0.051,0.334031181086464,0.0932124245330574,0.839786842078226,0.784674390804636,0.284697917281004,1.13862209704274,0.038523,24.4636948850197,0.00177665269426002,0.0891322959003512
0.35,0.0525,0.333757356163129,0.0885346561956656,0.852671111638969,0.795277839975214,0.281580927178758,1.16239052532609,0.0381025,23.9520122648992,0.00186747915378247,0.0930848929372108
0.36,0.054,0.333483531239793,0.0838568878582737,0.865555381199712,0.805881289145793,0.278463937076513,1.18615895360944,0.037682,23.4403296447787,0.00195236874405979,0.0971133709083368
0.37,0.0555,0.333209706316457,0.0791791195208819,0.878439650760454,0.816484738316372,0.275346946974267,1.20992738189279,0.0372615,22.9286470246582,0.00202973878396686,0.101217624169167
0.38,0.057,0.332935881393121,0.07450135118349,0.891323920321197,0.827088187486951,0.272229956872022,1.23369581017614,0.036841,22.4169644045377,0.00209787690190578,0.105397546754494
0.39,0.0585,0.332662056469785,0.0698235828460981,0.90420818988194,0.837691636657529,0.269112966769777,1.25746423845949,0.0364205,21.9052817844172,0.00215493677011328,0.109653032378468
0.4,0.06,0.332388231546449,0.0651458145087063,0.917092459442682,0.848295085828108,0.265995976667531,1.28123266674284,0.036,21.3935991642968,0.00219893382910847,0.113983974434596
0.41,0.0615,0.332910601096951,0.0628631036739746,0.921667099913287,0.852902823964368,0.261775474763563,1.30622343727676,0.0355725,21.0201175164101,0.00229254858733945,0.117473490579977
0.42,0.063,0.333432970647453,0.0605803928392429,0.926241740383892,0.857510562100627,0.257554972859596,1.33121420781069,0.035145,20.6466358685234,0.00238278268585631,0.120996184613036
