Airfoil,Mu,Chord,Twist,r,TSR_local,Phi,Alpha,Beta,Sigma,CL,CD,AeroEfi,Cx,Cy,F_tip,F_root,F_total,a,b,a_new,b_new,error_a,error_b,W
NACA 63821,0.3,0.040205,20.5261541,0.045,1.2,26.5104253655017,5.98427126550165,20.5261541,0.426588299133977,0.796857389616719,0.0653960936395221,12.1850915745698,0.742260594122321,0.297165877689985,0.999749681325386,0.788447126875058,0.788249763835256,0.335126480779808,0.111923497882625,0.335126480779808,0.111923497882625,0.0307762377298936,0.877741499119588,1.04354838390934
NACA 63818,0.4,0.036,15.2670016,0.06,1.6,21.3935991642968,6.12659756429676,15.2670016,0.286478897565412,0.886872735716881,0.0617670048285262,14.3583574787051,0.848295085828108,0.265995976667531,0.998666309776774,0.91831721012765,0.917092459442682,0.332388231546449,0.0651458145087063,0.332388231546449,0.0651458145087063,0.0328434774869161,0.144063126300218,1.28123266674284
NACA 63817,0.5,0.031725,11.6723125,0.075,2,17.6587826854302,5.98647018543018,11.6723125,0.201967622783615,0.920116054309649,0.0580598775956479,15.8477091653156,0.894372467190704,0.223790957627855,0.995467110451224,0.967223179992653,0.96283886414873,0.337611927051472,0.0423187061613893,0.337611927051472,0.0423187061613893,0.438203860159627,0.841894842276738,1.53114037208211
NACA 63816,0.6,0.02738,9.0910256,0.09,2.4,14.990289981397,5.89926438139701,9.0910256,0.145255411395203,0.937722118548653,0.0560069329926899,16.7429649945489,0.920297622575088,0.188445838482208,0.986668934733276,0.986668934733276,0.973515586767698,0.339111750353748,0.0289484036943504,0.339111750353748,0.0289484036943504,0.12882286737478,0.427294424122505,1.78946697518805
NACA 63815,0.7,0.022965,7.0997461,0.105,2.8,13.1877831407278,6.08803704072783,7.0997461,0.104428379088725,0.960302192143557,0.0549585824255846,17.4731979931221,0.947515121432189,0.165577295168438,0.961946618825125,0.994188204992349,0.95635598226821,0.3319735257033,0.0207714947900973,0.3319735257033,0.0207714947900973,0.554403815616475,0.986571911647234,2.05463284256828
NACA 63814,0.8,0.01848,5.5027456,0.12,3.2,11.6770399104271,6.17429431042711,5.5027456,0.0735295837084557,0.990853397820281,0.0542457636855906,18.2660051310787,0.981325755337107,0.147420557460233,0.899767370609633,0.997545964198997,0.897559309269583,0.329142218791006,0.0154684357794319,0.329142218791006,0.0154684357794319,0.230425721114613,0.344279168064049,2.32261791953291
NACA 63813,0.9,0.013925,4.3319621,0.135,3.6,10.289355393769,5.95739329376897,4.3319621,0.0492496129456587,0.992932766809615,0.0515061133802685,19.2779594817962,0.986164652030578,0.126679272989502,0.742639513537787,0.999072632118049,0.741950813505064,0.339031756162038,0.0121063079417961,0.339031756162038,0.0121063079417961,0.152198595845623,0.408170580919587,2.59213449633961
NACA 63812,1,0.0093,3.847,0.15,4,9.40948538753595,5.56248538753595,3.847,0.0311608625422027,0.987675393778021,0.0492669504345219,20.0474229694953,0.982440947940213,0.112870278151616,0.576697637267255,0.999544873432427,0.576435166851078,0.331880128312383,0.00954770964343315,0.331880128312383,0.00954770964343315,0.345993035734555,0.997437321682098,2.72581818752956
