Mu,r,a,b,F_total,Cx,Cy,W,Chord,Phi,Q,T
0.3,0.045,0.203493735479518,0.181754406376659,0.653897879925275,0.874196831188827,0.468317168998768,0.746469799628313,0.040205,48.3345225124646,0.00111462190286253,0.0447049935225478
0.31,0.0465,0.19829012376016,0.171653130974344,0.664211013827822,0.879536743475822,0.460964371911206,0.756622432580079,0.0397845,47.953259930446,0.00118561418713495,0.0459982142456926
0.32,0.048,0.193086512040802,0.161551855572029,0.674524147730369,0.884876655762816,0.453611574823645,0.766775065531846,0.039364,47.5719973484275,0.00125261201259924,0.0472352048278828
0.33,0.0495,0.187882900321444,0.151450580169714,0.684837281632916,0.890216568049811,0.446258777736084,0.776927698483613,0.0389435,47.1907347664089,0.00131412122590848,0.0484110096302623
0.34,0.051,0.182679288602085,0.141349304767399,0.695150415535463,0.895556480336806,0.438905980648522,0.78708033143538,0.038523,46.8094721843904,0.00136848721691583,0.0495205803272182
0.35,0.0525,0.177475676882727,0.131248029365085,0.70546354943801,0.9008963926238,0.431553183560961,0.797232964387147,0.0381025,46.4282096023719,0.00141388668771604,0.0505587759063779
0.36,0.054,0.172272065163369,0.12114675396277,0.715776683340557,0.906236304910795,0.4242003864734,0.807385597338914,0.037682,46.0469470203534,0.00144831925975555,0.0515203626686115
0.37,0.0555,0.167068453444011,0.111045478560455,0.726089817243104,0.91157621719779,0.416847589385838,0.817538230290681,0.0372615,45.6656844383348,0.00146959891901083,0.0524000142280311
0.38,0.057,0.161864841724653,0.10094420315814,0.736402951145651,0.916916129484785,0.409494792298277,0.827690863242448,0.036841,45.2844218563163,0.0014753452992353,0.0531923115119904
0.39,0.0585,0.156661230005295,0.0908429277558255,0.746716085048198,0.922256041771779,0.402141995210716,0.837843496194215,0.0364205,44.9031592742977,0.0014629748032746,0.0538917427610848
0.4,0.06,0.151457618285937,0.0807416523535107,0.757029218950745,0.927595954058774,0.394789198123154,0.847996129145982,0.036,44.5218966922792,0.00142969156245034,0.0544927035291527
0.41,0.0615,0.149228214386854,0.0772629083821184,0.760376674080435,0.930142409682542,0.389146465906448,0.858467937991356,0.0355725,44.0536998327132,0.00148233897047089,0.0554047412872651
0.42,0.063,0.146998810487771,0.0737841644107262,0.763724129210126,0.93268886530631,0.383503733689742,0.868939746836731,0.035145,43.5855029731473,0.00153109976732845,0.0562852924518409
0.43,0.0645,0.144769406588688,0.0703054204393339,0.767071584339816,0.935235320930077,0.377861001473035,0.879411555682105,0.0347175,43.1173061135813,0.00157528943483909,0.0571335489526843
0.44,0.066,0.142540002689605,0.0668266764679416,0.770419039469507,0.937781776553845,0.372218269256329,0.88988336452748,0.03429,42.6491092540154,0.0016141834046482,0.057948697197432
