Mu,r,a,b,F_total,Cx,Cy,W,Chord,Phi,Q,T
0.3,0.045,0.318652514949566,0.0684714610297818,0.820354293401253,0.549915060328023,0.177387873010595,1.21906657785153,0.040205,23.0150804979946,0.00115908715602151,0.0772940757000591
0.31,0.0465,0.320467076019371,0.0656282005917781,0.832886904526403,0.556786992147412,0.174359487725536,1.24998709073834,0.0397845,22.4817982227689,0.00123921959628672,0.0812923006430758
0.32,0.048,0.322281637089176,0.0627849401537744,0.845419515651553,0.563658923966802,0.171331102440476,1.28090760362516,0.039364,21.9485159475432,0.00131810509297825,0.0853884931717486
0.33,0.0495,0.324096198158981,0.0599416797157708,0.857952126776703,0.570530855786192,0.168302717155417,1.31182811651197,0.0389435,21.4152336723175,0.00139485215934237,0.0895829982536737
0.34,0.051,0.325910759228786,0.0570984192777671,0.870484737901853,0.577402787605582,0.165274331870358,1.34274862939878,0.038523,20.8819513970918,0.00146849105599123,0.0938761467650249
0.35,0.0525,0.327725320298591,0.0542551588397635,0.883017349027003,0.584274719424972,0.162245946585299,1.37366914228559,0.0381025,20.3486691218661,0.00153797190626067,0.0982682554905491
0.36,0.054,0.329539881368396,0.0514118984017598,0.895549960152153,0.591146651244361,0.15921756130024,1.4045896551724,0.037682,19.8153868466404,0.00160216286124835,0.102759627123571
0.37,0.0555,0.3313544424382,0.0485686379637562,0.908082571277303,0.598018583063751,0.156189176015181,1.43551016805921,0.0372615,19.2821045714147,0.00165984831453182,0.107350550265989
0.38,0.057,0.333169003508005,0.0457253775257525,0.920615182402453,0.604890514883141,0.153160790730122,1.46643068094602,0.036841,18.748822296189,0.00170972716656674,0.112041299428281
0.39,0.0585,0.33498356457781,0.0428821170877488,0.933147793527603,0.611762446702531,0.150132405445063,1.49735119383283,0.0364205,18.2155400209633,0.00175041113876518,0.116832135029495
0.4,0.06,0.336798125647615,0.0400388566497452,0.945680404652753,0.61863437852192,0.147104020160004,1.52827170671965,0.036,17.6822577457376,0.00178042313725409,0.121723303397262
0.41,0.0615,0.339037608217812,0.0385632713590188,0.9494258548028,0.620975101917262,0.143691494359207,1.56039119161933,0.0355725,17.3176896618297,0.00184603175892256,0.125629803800025
0.42,0.063,0.341277090788009,0.0370876860682924,0.953171304952847,0.623315825312603,0.140278968558411,1.59251067651902,0.035145,16.9531215779218,0.00190787769409895,0.129577232178065
0.43,0.0645,0.343516573358206,0.035612100777566,0.956916755102894,0.625656548707945,0.136866442757615,1.6246301614187,0.0347175,16.5885534940138,0.00196535421011481,0.133565342791035
0.44,0.066,0.345756055928403,0.0341365154868396,0.960662205252941,0.627997272103286,0.133453916956818,1.65674964631839,0.03429,16.2239854101059,0.00201783026267418,0.137593883483986
0.45,0.0675,0.3479955384986,0.0326609301961132,0.964407655402989,0.630337995498628,0.130041391156022,1.68886913121807,0.0338625,15.8594173261979,0.00206465060000567,0.141662595687373
