Angle-of-attack-[°],Coefficient-of-drag-[-],Coefficient-of-lift-[-]
0,0.036623843,0.492578642
2,0.039467441,0.689303146
4,0.043967381,0.8693889
6,0.050750791,1.020797435
8,0.060289321,1.137447405
10,0.074271368,1.218785814
12,0.094139852,1.260853536
14,0.118914045,1.253311962
16,0.152185935,1.180484873
18,0.196392707,1.09870567
20,0.248526548,1.008952114
