Angle-of-attack-[°],Coefficient-of-lift-[-],Coefficient-of-drag-[-]
-180,0,0.070777
-178.571429,0.048052,0.071557
-177.142857,0.096103,0.073894
-175.714286,0.144154,0.077783
-174.285714,0.192206,0.083214
-172.857143,0.240258,0.090173
-171.428571,0.288309,0.098642
-170,0.33636,0.1086
-168.571429,0.384412,0.120022
-167.142857,0.432464,0.132878
-165.714286,0.480515,0.147136
-164.285714,0.528567,0.162759
-162.857143,0.576618,0.179709
-161.428571,0.624669,0.197941
-160,0.672721,0.21741
-155,0.633819,0.294548
-150,0.613242,0.383795
-145,0.597593,0.482374
-140,0.579896,0.587215
-135,0.556261,0.695047
-130,0.52455,0.802498
-125,0.483773,0.906199
-120,0.433779,1.002889
-115,0.375066,1.08951
-110,0.308662,1.163306
-105,0.236025,1.221905
-100,0.158958,1.263392
-95,0.079532,1.28637
-90,0,1.29
-85,-0.079532,1.28637
-80,-0.158958,1.263392
-75,-0.236025,1.221905
-70,-0.308662,1.163306
-65,-0.375066,1.08951
-60,-0.433779,1.002889
-55,-0.483773,0.906199
-50,-0.52455,0.802498
-45,-0.556261,0.695047
-40,-0.579896,0.587215
-35,-0.597593,0.482374
-30,-0.613242,0.383795
-25,-0.633819,0.294548
-20,-0.672721,0.21741
-18.571429,-0.602852,0.205538
-17.142857,-0.532982,0.193666
-15.714286,-0.463113,0.181794
-14.285714,-0.393244,0.169921
-12.857143,-0.323374,0.158049
-11.428571,-0.253505,0.146177
-10,-0.183635,0.134305
-8.571429,-0.113766,0.122433
-7.142857,-0.043897,0.110561
-5.714286,0.025973,0.098689
-4.285714,0.095842,0.086816
-2.857143,0.165711,0.074944
0,0.30545,0.0512
2,0.46589,0.05423
4,0.58355,0.05896
6,0.70156,0.07381
8,0.76255,0.08563
10,0.80824,0.1012
12,0.86238,0.11874
14,0.89392,0.1389
16,0.92783,0.16157
18,0.95505,0.18719
20,0.96103,0.21741
25,0.905456,0.294548
30,0.87606,0.383795
35,0.853704,0.482374
40,0.828423,0.587215
45,0.794658,0.695047
50,0.749357,0.802498
55,0.691105,0.906199
60,0.619684,1.002889
65,0.535808,1.08951
70,0.440945,1.163306
75,0.337178,1.221905
80,0.227083,1.263392
85,0.113617,1.28637
90,0,1.29
95,-0.079532,1.28637
100,-0.158958,1.263392
105,-0.236025,1.221905
110,-0.308662,1.163306
115,-0.375066,1.08951
120,-0.433779,1.002889
125,-0.483773,0.906199
130,-0.52455,0.802498
135,-0.556261,0.695047
140,-0.579896,0.587215
145,-0.597593,0.482374
150,-0.613242,0.383795
155,-0.633819,0.294548
160,-0.672721,0.21741
161.428571,-0.624669,0.197941
162.857143,-0.576618,0.179709
164.285714,-0.528567,0.162759
165.714286,-0.480515,0.147136
167.142857,-0.432464,0.132878
168.571429,-0.384412,0.120022
170,-0.33636,0.1086
171.428571,-0.288309,0.098642
172.857143,-0.240258,0.090173
174.285714,-0.192206,0.083214
175.714286,-0.144154,0.077783
177.142857,-0.096103,0.073894
178.571429,-0.048052,0.071557
180,0,0.070777
