Angle-of-attack-[°],Coefficient-of-lift-[-],Coefficient-of-drag-[-]
-180,0,0.079744
-178.571429,0.05275,0.080521
-177.142857,0.105499,0.08285
-175.714286,0.158249,0.086725
-174.285714,0.210999,0.092136
-172.857143,0.263749,0.09907
-171.428571,0.316498,0.107509
-170,0.369248,0.117431
-168.571429,0.421998,0.128811
-167.142857,0.474748,0.14162
-165.714286,0.527497,0.155825
-164.285714,0.580247,0.171391
-162.857143,0.632997,0.188277
-161.428571,0.685747,0.206441
-160,0.738496,0.225836
-155,0.683335,0.302675
-150,0.651457,0.39156
-145,0.627397,0.489719
-140,0.603155,0.594084
-135,0.574276,0.701387
-130,0.538291,0.808261
-125,0.494005,0.911342
-120,0.441133,1.007372
-115,0.380087,1.093299
-110,0.311833,1.166373
-105,0.237791,1.224226
-100,0.159738,1.264949
-95,0.079726,1.287151
-90,0,1.29
-85,-0.079726,1.287151
-80,-0.159738,1.264949
-75,-0.237791,1.224226
-70,-0.311833,1.166373
-65,-0.380087,1.093299
-60,-0.441133,1.007372
-55,-0.494005,0.911342
-50,-0.538291,0.808261
-45,-0.574276,0.701387
-40,-0.603155,0.594084
-35,-0.627397,0.489719
-30,-0.651457,0.39156
-25,-0.683335,0.302675
-20,-0.738496,0.225836
-18.571429,-0.652726,0.212514
-17.142857,-0.566955,0.199193
-15.714286,-0.481184,0.185871
-14.285714,-0.395413,0.172549
-12.857143,-0.309643,0.159228
-11.428571,-0.223872,0.145906
-10,-0.138101,0.132584
-8.571429,-0.05233,0.119263
-7.142857,0.033441,0.105941
-5.714286,0.119211,0.092619
-4.285714,0.204982,0.079298
-2.857143,0.290753,0.065976
0,0.462295,0.039333
2,0.649067,0.042467
4,0.812262,0.047416
6,0.955111,0.054525
8,1.073043,0.064375
10,1.142657,0.078692
12,1.170715,0.096959
14,1.18543,0.118646
16,1.163037,0.147177
18,1.128551,0.180987
20,1.054995,0.225836
25,0.976194,0.302675
30,0.930653,0.39156
35,0.896281,0.489719
40,0.86165,0.594084
45,0.820394,0.701387
50,0.768987,0.808261
55,0.705722,0.911342
60,0.630191,1.007372
65,0.542981,1.093299
70,0.445476,1.166373
75,0.339702,1.224226
80,0.228198,1.264949
85,0.113894,1.287151
90,0,1.29
95,-0.079726,1.287151
100,-0.159738,1.264949
105,-0.237791,1.224226
110,-0.311833,1.166373
115,-0.380087,1.093299
120,-0.441133,1.007372
125,-0.494005,0.911342
130,-0.538291,0.808261
135,-0.574276,0.701387
140,-0.603155,0.594084
145,-0.627397,0.489719
150,-0.651457,0.39156
155,-0.683335,0.302675
160,-0.738496,0.225836
161.428571,-0.685747,0.206441
162.857143,-0.632997,0.188277
164.285714,-0.580247,0.171391
165.714286,-0.527497,0.155825
167.142857,-0.474748,0.14162
168.571429,-0.421998,0.128811
170,-0.369248,0.117431
171.428571,-0.316498,0.107509
172.857143,-0.263749,0.09907
174.285714,-0.210999,0.092136
175.714286,-0.158249,0.086725
177.142857,-0.105499,0.08285
178.571429,-0.05275,0.080521
180,0,0.079744
