Angle-of-attack-[°],Coefficient-of-lift-[-],Coefficient-of-drag-[-]
-180,0,0.067445
-178.571429,0.051255,0.068225
-177.142857,0.102511,0.070566
-175.714286,0.153766,0.07446
-174.285714,0.205022,0.079898
-172.857143,0.256277,0.086866
-171.428571,0.307533,0.095347
-170,0.358788,0.105318
-168.571429,0.410044,0.116755
-167.142857,0.461299,0.129629
-165.714286,0.512555,0.143906
-164.285714,0.56381,0.159551
-162.857143,0.615066,0.176524
-161.428571,0.666321,0.194782
-160,0.717576,0.214279
-155,0.667587,0.291528
-150,0.639303,0.380909
-145,0.617918,0.479644
-140,0.595757,0.584662
-135,0.568546,0.692691
-130,0.53392,0.800356
-125,0.490751,0.904288
-120,0.438794,1.001222
-115,0.37849,1.088101
-110,0.310824,1.162166
-105,0.237229,1.221042
-100,0.15949,1.262813
-95,0.079664,1.286079
-90,0,1.29
-85,-0.079664,1.286079
-80,-0.15949,1.262813
-75,-0.237229,1.221042
-70,-0.310824,1.162166
-65,-0.37849,1.088101
-60,-0.438794,1.001222
-55,-0.490751,0.904288
-50,-0.53392,0.800356
-45,-0.568546,0.692691
-40,-0.595757,0.584662
-35,-0.617918,0.479644
-30,-0.639303,0.380909
-25,-0.667587,0.291528
-20,-0.717576,0.214279
-18.571429,-0.639425,0.202262
-17.142857,-0.561273,0.190245
-15.714286,-0.483121,0.178228
-14.285714,-0.404969,0.166212
-12.857143,-0.326817,0.154195
-11.428571,-0.248665,0.142178
-10,-0.170513,0.130161
-8.571429,-0.092361,0.118145
-7.142857,-0.01421,0.106128
-5.714286,0.063942,0.094111
-4.285714,0.142094,0.082095
-2.857143,0.220246,0.070078
0,0.37655,0.046044
2,0.540676,0.050167
4,0.683114,0.056577
6,0.797759,0.065466
8,0.872907,0.077969
10,0.933913,0.092786
12,0.977031,0.110081
14,1.012254,0.129878
16,1.017672,0.155074
18,1.032226,0.181883
20,1.025109,0.214279
25,0.953695,0.291528
30,0.913289,0.380909
35,0.882739,0.479644
40,0.851082,0.584662
45,0.812209,0.692691
50,0.762743,0.800356
55,0.701073,0.904288
60,0.626849,1.001222
65,0.5407,1.088101
70,0.444035,1.162166
75,0.338899,1.221042
80,0.227843,1.262813
85,0.113806,1.286079
90,0,1.29
95,-0.079664,1.286079
100,-0.15949,1.262813
105,-0.237229,1.221042
110,-0.310824,1.162166
115,-0.37849,1.088101
120,-0.438794,1.001222
125,-0.490751,0.904288
130,-0.53392,0.800356
135,-0.568546,0.692691
140,-0.595757,0.584662
145,-0.617918,0.479644
150,-0.639303,0.380909
155,-0.667587,0.291528
160,-0.717576,0.214279
161.428571,-0.666321,0.194782
162.857143,-0.615066,0.176524
164.285714,-0.56381,0.159551
165.714286,-0.512555,0.143906
167.142857,-0.461299,0.129629
168.571429,-0.410044,0.116755
170,-0.358788,0.105318
171.428571,-0.307533,0.095347
172.857143,-0.256277,0.086866
174.285714,-0.205022,0.079898
175.714286,-0.153766,0.07446
177.142857,-0.102511,0.070566
178.571429,-0.051255,0.068225
180,0,0.067445
