Angle-of-attack-[°],Coefficient-of-lift-[-],Coefficient-of-drag-[-]
-180,0,0.068988
-178.571429,0.052811,0.069769
-177.142857,0.105621,0.072108
-175.714286,0.158432,0.075999
-174.285714,0.211243,0.081434
-172.857143,0.264053,0.088398
-171.428571,0.316864,0.096873
-170,0.369675,0.106838
-168.571429,0.422485,0.118268
-167.142857,0.475296,0.131134
-165.714286,0.528107,0.145402
-164.285714,0.580917,0.161037
-162.857143,0.633728,0.177999
-161.428571,0.686539,0.196245
-160,0.739349,0.215729
-155,0.683977,0.292927
-150,0.651952,0.382246
-145,0.627783,0.480909
-140,0.603456,0.585845
-135,0.574509,0.693782
-130,0.538469,0.801348
-125,0.494138,0.905173
-120,0.441229,1.001994
-115,0.380152,1.088754
-110,0.311874,1.162694
-105,0.237814,1.221442
-100,0.159749,1.263081
-95,0.079729,1.286214
-90,0,1.29
-85,-0.079729,1.286214
-80,-0.159749,1.263081
-75,-0.237814,1.221442
-70,-0.311874,1.162694
-65,-0.380152,1.088754
-60,-0.441229,1.001994
-55,-0.494138,0.905173
-50,-0.538469,0.801348
-45,-0.574509,0.693782
-40,-0.603456,0.585845
-35,-0.627783,0.480909
-30,-0.651952,0.382246
-25,-0.683977,0.292927
-20,-0.739349,0.215729
-18.571429,-0.656767,0.203398
-17.142857,-0.574185,0.191066
-15.714286,-0.491602,0.178735
-14.285714,-0.40902,0.166404
-12.857143,-0.326438,0.154072
-11.428571,-0.243856,0.141741
-10,-0.161273,0.12941
-8.571429,-0.078691,0.117078
-7.142857,0.003891,0.104747
-5.714286,0.086473,0.092416
-4.285714,0.169055,0.080084
-2.857143,0.251638,0.067753
0,0.416802,0.04309
2,0.603602,0.046545
4,0.750434,0.052342
6,0.880465,0.061098
8,0.981695,0.071667
10,1.036241,0.086638
12,1.083951,0.105476
14,1.086035,0.125614
16,1.086876,0.151049
18,1.079006,0.181404
20,1.056213,0.215729
25,0.977111,0.292927
30,0.931361,0.382246
35,0.896833,0.480909
40,0.86208,0.585845
45,0.820727,0.693782
50,0.769241,0.801348
55,0.705911,0.905173
60,0.630327,1.001994
65,0.543074,1.088754
70,0.445535,1.162694
75,0.339735,1.221442
80,0.228212,1.263081
85,0.113898,1.286214
90,0,1.29
95,-0.079729,1.286214
100,-0.159749,1.263081
105,-0.237814,1.221442
110,-0.311874,1.162694
115,-0.380152,1.088754
120,-0.441229,1.001994
125,-0.494138,0.905173
130,-0.538469,0.801348
135,-0.574509,0.693782
140,-0.603456,0.585845
145,-0.627783,0.480909
150,-0.651952,0.382246
155,-0.683977,0.292927
160,-0.739349,0.215729
161.428571,-0.686539,0.196245
162.857143,-0.633728,0.177999
164.285714,-0.580917,0.161037
165.714286,-0.528107,0.145402
167.142857,-0.475296,0.131134
168.571429,-0.422485,0.118268
170,-0.369675,0.106838
171.428571,-0.316864,0.096873
172.857143,-0.264053,0.088398
174.285714,-0.211243,0.081434
175.714286,-0.158432,0.075999
177.142857,-0.105621,0.072108
178.571429,-0.052811,0.069769
180,0,0.068988
