Angle-of-attack-[°],Coefficient-of-lift-[-],Coefficient-of-drag-[-]
-180,0,0.070413
-178.571429,0.052845,0.071192
-177.142857,0.105689,0.07353
-175.714286,0.158534,0.07742
-174.285714,0.211379,0.082851
-172.857143,0.264224,0.089811
-171.428571,0.317068,0.098282
-170,0.369913,0.108241
-168.571429,0.422758,0.119664
-167.142857,0.475602,0.132522
-165.714286,0.528447,0.146782
-164.285714,0.581292,0.162408
-162.857143,0.634137,0.17936
-161.428571,0.686981,0.197596
-160,0.739826,0.217068
-155,0.684336,0.294217
-150,0.65223,0.383479
-145,0.627999,0.482076
-140,0.603625,0.586936
-135,0.57464,0.694789
-130,0.538569,0.802263
-125,0.494212,0.90599
-120,0.441282,1.002706
-115,0.380188,1.089356
-110,0.311897,1.163181
-105,0.237827,1.221811
-100,0.159754,1.263329
-95,0.07973,1.286338
-90,0,1.29
-85,-0.07973,1.286338
-80,-0.159754,1.263329
-75,-0.237827,1.221811
-70,-0.311897,1.163181
-65,-0.380188,1.089356
-60,-0.441282,1.002706
-55,-0.494212,0.90599
-50,-0.538569,0.802263
-45,-0.57464,0.694789
-40,-0.603625,0.586936
-35,-0.627999,0.482076
-30,-0.65223,0.383479
-25,-0.684336,0.294217
-20,-0.739826,0.217068
-18.571429,-0.655617,0.204543
-17.142857,-0.571408,0.192018
-15.714286,-0.487199,0.179493
-14.285714,-0.402991,0.166968
-12.857143,-0.318782,0.154443
-11.428571,-0.234573,0.141918
-10,-0.150364,0.129393
-8.571429,-0.066155,0.116868
-7.142857,0.018054,0.104343
-5.714286,0.102263,0.091818
-4.285714,0.186472,0.079293
-2.857143,0.270681,0.066768
0,0.439098,0.041718
2,0.620979,0.045128
4,0.781818,0.050554
6,0.921058,0.058111
8,1.008503,0.069361
10,1.08444,0.0835
12,1.110759,0.102759
14,1.122452,0.124387
16,1.108668,0.149788
18,1.092246,0.18121
20,1.056894,0.217068
25,0.977623,0.294217
30,0.931756,0.383479
35,0.897142,0.482076
40,0.862321,0.586936
45,0.820914,0.694789
50,0.769384,0.802263
55,0.706017,0.90599
60,0.630403,1.002706
65,0.543126,1.089356
70,0.445567,1.163181
75,0.339753,1.221811
80,0.22822,1.263329
85,0.1139,1.286338
90,0,1.29
95,-0.07973,1.286338
100,-0.159754,1.263329
105,-0.237827,1.221811
110,-0.311897,1.163181
115,-0.380188,1.089356
120,-0.441282,1.002706
125,-0.494212,0.90599
130,-0.538569,0.802263
135,-0.57464,0.694789
140,-0.603625,0.586936
145,-0.627999,0.482076
150,-0.65223,0.383479
155,-0.684336,0.294217
160,-0.739826,0.217068
161.428571,-0.686981,0.197596
162.857143,-0.634137,0.17936
164.285714,-0.581292,0.162408
165.714286,-0.528447,0.146782
167.142857,-0.475602,0.132522
168.571429,-0.422758,0.119664
170,-0.369913,0.108241
171.428571,-0.317068,0.098282
172.857143,-0.264224,0.089811
174.285714,-0.211379,0.082851
175.714286,-0.158534,0.07742
177.142857,-0.105689,0.07353
178.571429,-0.052845,0.071192
180,0,0.070413
