Angle-of-attack-[°],Coefficient-of-drag-[-],Coefficient-of-lift-[-]
0,0.037341455,0.483091164
2,0.040326027,0.674271288
4,0.044757764,0.849769585
6,0.051653055,0.996048888
8,0.06124985,1.117130836
10,0.075118974,1.197090763
12,0.093995592,1.227329193
14,0.118006011,1.226223202
16,0.14847205,1.189909838
18,0.189200561,1.117114807
20,0.236403927,1.038292927
