Angle-of-attack-[°],Coefficient-of-drag-[-],Coefficient-of-lift-[-]
0,0.043090122,0.416802244
2,0.046544901,0.603601683
4,0.052341895,0.750433981
6,0.061098217,0.880464837
8,0.071667401,0.981695051
10,0.086638349,1.036241234
12,0.105476257,1.083951112
14,0.125614105,1.086034863
16,0.151049489,1.086876377
18,0.181404127,1.079006211
20,0.215729112,1.056213184
