Angle-of-attack-[°],Coefficient-of-lift-[-],Coefficient-of-drag-[-]
-180,0,0.103891
-178.571429,0.050448,0.10466
-177.142857,0.100895,0.106967
-175.714286,0.151343,0.110804
-174.285714,0.20179,0.116163
-172.857143,0.252238,0.123029
-171.428571,0.302686,0.131386
-170,0.353133,0.141211
-168.571429,0.403581,0.152479
-167.142857,0.454028,0.165161
-165.714286,0.504476,0.179225
-164.285714,0.554924,0.194635
-162.857143,0.605371,0.211351
-161.428571,0.655819,0.22933
-160,0.706266,0.248527
-155,0.659073,0.324559
-150,0.632732,0.412472
-145,0.612793,0.509499
-140,0.591758,0.612582
-135,0.565448,0.718462
-130,0.531558,0.823783
-125,0.488992,0.925192
-120,0.43753,1.019445
-115,0.377626,1.103504
-110,0.310279,1.174631
-105,0.236926,1.230475
-100,0.159356,1.269142
-95,0.079631,1.289256
-90,0,1.29
-85,-0.079631,1.289256
-80,-0.159356,1.269142
-75,-0.236926,1.230475
-70,-0.310279,1.174631
-65,-0.377626,1.103504
-60,-0.43753,1.019445
-55,-0.488992,0.925192
-50,-0.531558,0.823783
-45,-0.565448,0.718462
-40,-0.591758,0.612582
-35,-0.612793,0.509499
-30,-0.632732,0.412472
-25,-0.659073,0.324559
-20,-0.706266,0.248527
-18.571429,-0.620635,0.233391
-17.142857,-0.535003,0.218255
-15.714286,-0.449371,0.203119
-14.285714,-0.363739,0.187983
-12.857143,-0.278108,0.172847
-11.428571,-0.192476,0.157711
-10,-0.106844,0.142575
-8.571429,-0.021212,0.127439
-7.142857,0.06442,0.112303
-5.714286,0.150051,0.097167
-4.285714,0.235683,0.082032
-2.857143,0.321315,0.066896
0,0.492579,0.036624
2,0.689303,0.039467
4,0.869389,0.043967
6,1.020797,0.050751
8,1.137447,0.060289
10,1.218786,0.074271
12,1.260854,0.09414
14,1.253312,0.118914
16,1.180485,0.152186
18,1.098706,0.196393
20,1.008952,0.248527
25,0.941532,0.324559
30,0.903902,0.412472
35,0.875418,0.509499
40,0.845369,0.612582
45,0.807783,0.718462
50,0.759368,0.823783
55,0.69856,0.925192
60,0.625042,1.019445
65,0.539466,1.103504
70,0.443256,1.174631
75,0.338465,1.230475
80,0.227652,1.269142
85,0.113758,1.289256
90,0,1.29
95,-0.079631,1.289256
100,-0.159356,1.269142
105,-0.236926,1.230475
110,-0.310279,1.174631
115,-0.377626,1.103504
120,-0.43753,1.019445
125,-0.488992,0.925192
130,-0.531558,0.823783
135,-0.565448,0.718462
140,-0.591758,0.612582
145,-0.612793,0.509499
150,-0.632732,0.412472
155,-0.659073,0.324559
160,-0.706266,0.248527
161.428571,-0.655819,0.22933
162.857143,-0.605371,0.211351
164.285714,-0.554924,0.194635
165.714286,-0.504476,0.179225
167.142857,-0.454028,0.165161
168.571429,-0.403581,0.152479
170,-0.353133,0.141211
171.428571,-0.302686,0.131386
172.857143,-0.252238,0.123029
174.285714,-0.20179,0.116163
175.714286,-0.151343,0.110804
177.142857,-0.100895,0.106967
178.571429,-0.050448,0.10466
180,0,0.103891
